job title,company name,location,skills,links
Python Developer,Afaqy,"Maadi, Cairo, Egypt ",Full TimeHybridExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Computer Science · Software Development · Python,https://wuzzuf.net/jobs/p/vOih05R9ip4s-Python-Developer-Afaqy-Cairo-Egypt
Full-Stack Python Team Leader (Django/React),RDI,"Riyadh, Saudi Arabia ",Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · Django · Full Stack Development · Information Technology (IT) · Computer Science · RESTful API · Microservice Architecture · Database Systems,https://wuzzuf.net/jobs/p/QYjtCS50gnXV-Full-Stack-Python-Team-Leader-DjangoReact-RDI-Riyadh-Saudi-Arabia
Senior Full-Stack Python (Django/React) in KSA,RDI,"Dokki, Giza, Egypt ",Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · Django · Full Stack Development · Information Technology (IT) · Computer Science · RESTful API · Microservice Architecture · Database Systems,https://wuzzuf.net/jobs/p/o21S64HNCZ4B-Senior-Full-Stack-Python-DjangoReact-in-KSA-RDI-Giza-Egypt
DAZU Pay - Python Developer (FinTech),Bright Creations,"Smart Village, Giza, Egypt ",Full TimeFreelance / ProjectHybridEntry Level · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Flask · Python Scripting · Web Scraping · WWeb Scraping · CI · Computer Science,https://wuzzuf.net/jobs/p/fAigo2QoJCS5-DAZU-Pay---Python-Developer-FinTech-Bright-Creations-Giza-Egypt
Junior Python Developer,RDI,"Dokki, Giza, Egypt ",Full TimeHybridEntry Level · 1 - 3 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Python · MySQL · JavaScript · React · Angular · RESTful · Django,https://wuzzuf.net/jobs/p/xJp7GQsxL0de-Junior-Python-Developer-RDI-Giza-Egypt
Technical Lead (Python Django & React Native),Money Loop,"New Cairo, Cairo, Egypt ",Full TimeHybridManager · 8 - 15 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Python Django · React Native · Node.js · Continues Integration (CI) · Continuous Delivery (CD) · DevOps · Github Actions,https://wuzzuf.net/jobs/p/OIf0OxgJ527L-Technical-Lead-Python-Django-React-Native-Money-Loop-Cairo-Egypt
Performance Test Engineer,qTech.,"Mansoura, Dakahlia, Egypt ",Full TimeOn-siteExperienced · 2+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Quality Assurance · Quality Control · Engineering · Quality · SQL · Zephyr · Testing,https://wuzzuf.net/jobs/p/gsAhq2vI4FGP-Performance-Test-Engineer-qTech-Dakahlia-Egypt
Data Analyst Lead / Manager,WUZZUF,"Maadi, Cairo, Egypt ",Full TimeHybridManager · 7 - 15 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Computer Engineering · Computer Science · Data Analysis · Engineering · Microsoft Excel,https://wuzzuf.net/jobs/p/Z2oRrb24292t-Data-Analyst-Lead-Manager-WUZZUF-Cairo-Egypt
Senior Software Engineer,Confidential,"Nasr City, Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MySQL · NoSQL Database · Computer Science · Information Technology (IT) · Programming · Software Development · Python · Java,https://wuzzuf.net/jobs/p/kibSfpkXp8E4-Senior-Software-Engineer-Cairo-Egypt
Tech Lead (Software Architecture),Green Valley,"Nasr City, Cairo, Egypt ",Full TimeOn-siteManager · 6 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Node.js · Python · Angular · Computer Science · Software Architecture · Software Development,https://wuzzuf.net/jobs/p/yhSI9EH8pGPh-Tech-Lead-Software-Architecture-Green-Valley-Cairo-Egypt
